index,embeddings_intensities_x,embeddings_intensities_y,embeddings_256_x,embeddings_256_y
8047,16.904285,1.9270754,-10.175619,-4.1618166
15298,15.746328,-1.2028476,-1.933561,-0.65729773
68834,14.954619,-0.40637684,-10.012526,-4.211173
263271,15.187239,1.4292299,-10.063655,-4.098774
295052,16.533028,-1.336162,-6.3757987,3.3322117
320327,15.397963,-0.9087828,-9.802325,-3.9577835
324299,17.809198,1.5695875,-9.975975,-4.1546464
360642,16.215256,2.055147,-10.286079,-3.8578134
393385,18.12344,1.1034391,-10.048734,-5.074728
450490,15.84687,1.4936798,-10.200151,-3.8912227
499956,17.412645,1.571049,-9.923572,-4.1100802
507384,17.387781,-0.9323336,-6.25516,3.3117945
509612,14.84322,0.30298534,-2.0225968,-0.37626332
519957,16.09843,1.7995743,-9.815977,-5.493619
663164,17.678398,-0.866867,-9.960695,-4.0552144
680200,15.035563,-0.17171872,-10.254453,-3.788797
707221,14.949609,0.7432573,-10.177748,-3.807799
1089895,15.346613,1.3855724,-10.011681,-3.710399
1191330,15.811189,-1.029431,-10.381144,-3.5507193
1219986,-21.455633,2.5495582,-2.1600556,-0.15610287
1255651,15.119722,0.5745244,-9.840054,-5.358901
1385985,15.825368,1.5086526,-10.047458,-3.9240007
1425342,15.150728,0.45929548,-9.841645,-5.4291496
1859676,14.846217,0.22082694,-9.972557,-4.1119184
8048,14.805634,0.30592135,-10.186184,-4.299026
15299,-21.624575,2.7168949,-2.0226443,-0.7186323
68835,16.122122,1.8206859,-9.983524,-4.1787267
263272,15.018807,0.20388967,-10.111889,-4.1253448
295053,16.169462,-0.854053,-6.1008744,3.24355
320328,14.879581,0.786498,-9.888123,-3.8870757
324300,15.556889,1.5763311,-9.960299,-4.1745763
360643,15.800156,1.6736978,-10.165157,-3.9422128
393386,15.579139,1.6825624,-10.079175,-5.0343075
450491,15.708793,-1.1054293,-10.123769,-4.0792847
499957,15.744239,-1.0632248,-9.955789,-4.1669016
507385,17.92156,1.4964693,-6.2652884,3.2772186
509613,17.831593,1.5080712,-2.506973,0.16792801
519958,14.898568,0.10507813,-1.8685746,-0.69081306
663165,17.233324,1.8717353,-9.945932,-4.039901
680201,14.916778,0.77285486,-10.207323,-3.838377
707222,17.917381,0.7612502,-9.988318,-3.8019302
1089896,15.093925,1.0925026,-10.184897,-3.79183
1191331,16.196657,1.9906896,-10.361327,-3.556494
1219987,-20.938795,2.0401983,-2.0989144,-0.22243097
1255652,17.816748,1.5525237,-1.8393947,-0.73231083
1385986,15.31541,-0.57223874,-10.088026,-3.9887803
1425343,15.353766,1.5870869,-1.8400242,-0.69719464
1859677,15.949546,1.9896255,-10.005329,-4.10157
8049,18.098297,0.07902056,-10.267563,-4.5150824
15300,-21.40385,2.3837597,-2.2894673,-0.63579357
68836,15.009237,-0.06919001,-10.024511,-4.1895204
263273,18.135307,0.8305072,-10.102383,-4.143994
295054,17.60677,1.5598733,-6.163749,3.243831
320329,15.344575,1.3126678,-9.9187975,-3.75334
324301,15.722866,-1.1489114,-9.983913,-4.155309
360644,16.772898,1.8114392,-10.166547,-3.8883188
393387,15.757383,1.789688,-10.023252,-5.1247683
450492,16.792284,1.9975965,-10.163033,-3.9862497
499958,17.059944,1.9073298,-9.935091,-4.136808
507386,18.123917,0.827655,-6.2565794,3.2873638
509614,-21.014729,2.2714288,-2.9069862,1.0116968
519959,-21.321903,2.5937967,-1.9937277,-0.6872713
663166,15.463629,-0.8582574,-9.849787,-4.0816307
680202,14.869618,-0.0040085455,-10.270518,-3.7571428
707223,18.021801,-0.25880235,-9.651397,-5.3748884
1089897,17.466894,-1.0127305,-10.044357,-3.7723236
1191332,17.1823,-1.1958932,-10.341161,-3.4956212
1219988,-20.968151,2.0668988,-2.070755,-0.29616433
1255653,16.277012,1.975636,-1.9750891,-0.6923306
1385987,15.605854,1.7902472,-10.07531,-4.0882506
1425344,15.594988,1.7866967,-2.0746422,-0.6872334
1859678,16.60765,-1.2993348,-10.017815,-4.1191025
8050,15.249061,1.3162386,-10.27499,-4.584152
15301,-21.512146,2.3910143,-2.43791,-0.68166625
68837,16.472752,1.9690101,-10.053787,-4.1082144
263274,18.250208,0.031357337,-10.225844,-4.438117
295055,17.66254,-0.82592076,-10.719581,-3.5664904
320330,16.07492,-0.8776513,-9.928546,-3.7918925
324302,15.119396,-0.64158183,-9.994031,-4.120425
360645,16.589037,2.0826771,-10.271576,-3.8431976
393388,15.147092,1.2907856,-10.010016,-5.109547
450493,15.329004,-0.69428605,-10.123627,-3.963102
499959,17.085564,1.9664762,-9.901033,-4.1376834
507387,16.75151,-1.1478482,-6.151961,3.2974381
509615,-21.169262,2.138134,-3.0489814,1.410222
519960,-21.50974,2.3650255,-2.3667102,-0.5479324
663167,16.180607,1.9711497,-9.783227,-3.940264
680203,15.581692,1.7722427,-10.2977085,-3.7179308
707224,15.773164,1.2245369,-9.730872,-5.503464
1089898,14.832387,0.30853212,-9.986803,-3.6994843
1191333,17.034395,1.9483544,-10.306249,-3.3732195
1219989,-21.413063,2.421377,-5.546454,3.1595533
1255654,16.15561,-1.1685603,-1.9084537,-0.629486
1385988,18.130783,0.76491594,-10.163132,-4.2784553
1425345,18.049402,0.140304,-2.2814326,-0.61023057
1859679,15.097927,-0.17819017,-10.13348,-4.3321815
8051,17.100782,-1.1985505,-10.281413,-4.634143
15302,-21.52448,2.5610862,-2.4385087,-0.6639069
68838,15.981692,1.9521875,-10.033914,-4.1010795
263275,15.5325165,1.6710957,-10.260502,-4.5950146
295056,15.007327,0.6720659,-10.339072,-3.753173
320331,14.999753,-0.095028006,-9.964417,-3.7911723
324303,17.457186,1.6139951,-10.041584,-4.0015616
360646,14.937966,0.32730925,-10.238363,-3.8743248
393389,15.180806,-0.32670915,-10.058598,-5.059615
450494,15.418388,-0.9095907,-9.770411,-5.538224
499960,16.745745,1.756447,-9.973973,-4.162242
507388,15.9897785,1.897926,-9.773165,-5.5207405
509616,-21.484785,3.0048997,-3.6170933,2.2890716
519961,-21.687702,2.8113127,-2.387101,-0.558399
663168,17.241869,1.9574399,-9.778724,-3.7935793
680204,17.98383,1.142842,-10.310574,-3.7894466
707225,15.004309,0.21509428,-9.742015,-5.492547
1089899,15.774778,1.5799106,-9.485062,-3.585095
1191334,17.284657,1.8245628,-10.393458,-3.384292
1219990,-20.833519,2.2080297,-4.3961415,2.3887534
1255655,-21.593542,2.5930078,-2.0205727,-0.7328315
1385989,15.374325,1.3821384,-10.254303,-4.622666
1425346,-20.989079,2.0490196,-2.3211088,-0.56842405
1830376,16.650225,1.941729,-1.8087593,-0.5868415
1859680,18.143242,0.47920033,-10.242674,-4.5298796
8052,17.722736,1.1476641,-10.272103,-4.6398616
15303,-20.437824,2.0624561,-2.5147104,-0.68756056
68839,17.231956,-1.1236057,-10.209654,-3.9773614
263276,17.928034,-0.3572454,-10.274375,-4.593576
295057,14.955598,0.07681646,-10.215938,-3.775407
320332,14.845966,0.3341145,-10.703643,-3.213631
324304,15.207574,1.3945525,-10.125254,-3.8971915
360647,15.190201,-0.15741216,-10.371095,-3.7578857
393390,16.450197,2.0400188,-10.068366,-5.029425
450495,15.881732,1.6602774,-9.779766,-5.5192056
499961,15.582983,-0.85895634,-9.973678,-4.0541105
507389,17.640545,1.5752271,-9.75821,-5.5121574
509617,-20.901453,2.1066546,-3.517786,2.1394835
519962,-21.544296,2.876569,-2.7716603,-0.42928588
663169,14.867315,0.77459735,-9.777785,-3.8178911
680205,17.909243,1.2742618,-10.243956,-3.8040457
707226,15.628473,1.0356226,-1.7830691,-0.68109435
